,train_name,train_number,source,destination,distance,total_time,departure,arrival
6104,BDTS GCT EXP,20941,,,,,
6105,GCT BDTS SF EXP,20942,,,,,
6106,EKNR NZM S KARNTI,20945,,,,,
6107,NZM EKNR S KARNTI,20946,,,,,
6108,OKHA JAIPUR SF EXP,20951,,,,,
6109,JP OKHA SF EXP,20952,,,,,
6110,MAS ADI EXPRESS,20953,,,,,
6111,ADI CHENNAI EXP,20954,,,,,
6112,INDB NDLS SUP,20957,,,,,
6113,NDLS INDB SF EXP,20958,,,,,
6114,BL VADNAGAR SUP,20959,,,,,
6115,VDG VALSAD SUP,20960,,,,,
6116,UDN BSBS SFAST,20961,,,,,
6117,BSBS UDN SF EXP,20962,,,,,
6118,SBIB BSB S FAST,20963,,,,,
6119,BSB SBIB EXPRESS,20964,,,,,
6120,BVC INTERCITY,20965,,,,,
6121,SABARMATI INCITY,20966,,,,,
6122,SC PBR SF EXP,20967,,,,,
6123,PBR SC SF EXP,20968,,,,,
6124,UDZ SHM EXP,20971,,,,,
6125,SHM UDZ EXPRESS,20972,,,,,
6126,CHAMBAL EXP,20975,,,,,
6127,CHAMBAL EXP,20976,,,,,
6128,BHUJ DEE SF EXP,20983,,,,,
6129,DEE BHUJ SF EXP,20984,,,,,
6130,UHP KOTA EXP,20986,,,,,
6131,UDZ ASV SF EXP,20987,,,,,
6132,ASV UDZ SF EXP,20988,,,,,
6133,INDORE BHIND EXP,21125,,,,,
6134,BIX RTM EXP,21126,,,,,
6135,BDTS BKN SUP EXP,21903,,,,,
6136,BKN BDTS SF,21904,,,,,
6137,LTT MDU SF EXP,22101,,,,,
6138,MDU LTT SF EXP,22102,,,,,
6139,LTT AYODHYA SF EXP,22103,,,,,
6140,AYC LTT SF EXP,22104,,,,,
6141,INDRAYANI EXP,22105,,,,,
6142,INDRAYANI EXP,22106,,,,,
6143,CSMT LATUR EXP,22107,,,,,
6144,LATUR CSMT EXP,22108,,,,,
6145,LTT BPQ EXPRESS,22109,,,,,
6146,BPQ LTT EXPRESS,22110,,,,,
6147,BSL NGP SUP EXP,22111,,,,,
6148,NGP BSL SUP EXP,22112,,,,,
6149,LTT KCVL EXPRESS,22113,,,,,
6150,KCVL LTT SF EXP,22114,,,,,
6151,LTT KRMI AC SUP,22115,,,,,
6152,KRMI LTT AC EXP,22116,,,,,
6153,PUNE AMI AC SF,22117,,,,,
6154,AMI PUNE  SF EXP,22118,,,,,
6155,LKO AC SUP EXP,22121,,,,,
6156,LKO LTT AC EXP,22122,,,,,
6157,PUNE AJNI AC EXP,22123,,,,,
6158,AJNI PUNE AC EXP,22124,,,,,
6159,NGP ASR AC EXP,22125,,,,,
6160,ASR NGP AC EXP,22126,,,,,
6161,ANANDWAN EXPRESS,22127,,,,,
6162,ANANDWAN EXP,22128,,,,,
6163,TULSI EXPRESS,22129,,,,,
6164,TULSI EXPRESS,22130,,,,,
6165,GYAN GANGA EXP,22131,,,,,
6166,GYAN GANGA SF,22132,,,,,
6167,SUR KOP SF EXP,22133,,,,,
6168,KOP SUR SF EXP,22134,,,,,
6169,MYS RU EXP,22135,,,,,
6170,RU MYS SF EXP,22136,,,,,
6171,PRERANA EXPRESS,22137,,,,,
6172,PRERANA EXPRESS,22138,,,,,
6173,CSMT BIDAR EXP,22143,,,,,
6174,BIDR CSMT EXP,22144,,,,,
6175,BPL REWA SF EXP,22145,,,,,
6176,REWA BPL SF EXP,22146,,,,,
6177,DR SNSI SF EXP,22147,,,,,
6178,SNSI DR SF EXP,22148,,,,,
6179,ERS PUNE EXPRESS,22149,,,,,
6180,PUNE ERS SUP EXP,22150,,,,,
6181,PA KAZIPET SF EX,22151,,,,,
6182,KZJ PUNE SF EXP,22152,,,,,
6183,MS SALEM EXP,22153,,,,,
6184,SA CHENNAI EXP,22154,,,,,
6185,KLBG KOP SUP EXP,22155,,,,,
6186,KOP KLBG SUP EXP,22156,,,,,
6187,CHENNAI MAIL,22157,,,,,
6188,MUMBAI MAIL,22158,,,,,
6189,CSMT CHENNAI EX,22159,,,,,
6190,MUMBAI EXPRESS,22160,,,,,
6191,RAJYA RANI EXP,22161,,,,,
6192,RAJYA RANI EXP,22162,,,,,
6193,MAHAMANA EXPRESS,22163,,,,,
6194,MAHAMANA EXP,22164,,,,,
6195,BPL SGRL SUP EXP,22165,,,,,
6196,SGRL BPL SF EXP,22166,,,,,
6197,SGRL NZM SF EXP,22167,,,,,
6198,NZM SGRL SF EXP,22168,,,,,
6199,CAF JBP SF SPL,22173,,,,,
6200,JBP CAF SUF EXP,22174,,,,,
6201,NGP JAIPUR SF EXP,22175,,,,,
6202,JAIPUR NGP SF EXP,22176,,,,,
6203,MAHANAGARI EXP,22177,,,,,
6204,MAHANAGARI EXP,22178,,,,,
6205,LTT CHENNAI  EXP,22179,,,,,
6206,CHENNAI LTT EXP,22180,,,,,
6207,JBP  NZM SUP EXP,22181,,,,,
6208,NZM JBP SF EXP,22182,,,,,
6209,SAKET EXPRESS,22183,,,,,
6210,SAKET EXPRESS,22184,,,,,
6211,AHIMSA EXPRESS,22185,,,,,
6212,AHIMSA EXPRESS,22186,,,,,
6213,INTERCITY EXPRES,22187,,,,,
6214,INTERCITY EXPRES,22188,,,,,
6215,INTERCITY EXP,22189,,,,,
6216,INTERCITY EXP,22190,,,,,
6217,INDB JBP EXP,22191,,,,,
6218,JBP INDB EXP,22192,,,,,
6219,DAUND GWALIOR EXP,22193,,,,,
6220,GWL DAUND EXP,22194,,,,,
6221,JHS BDTS EXP,22195,,,,,
6222,BDTS JHANSI EXP,22196,,,,,
6223,PRATHAM S S EXP,22197,,,,,
6224,PRATHAM S SNGRM,22198,,,,,
6225,GD SUSHASAN EXP,22199,,,,,
6226,GWL SUSHASAN EXP,22200,,,,,
6227,TVC AC SF EXP,22207,,,,,
6228,MAS SF AC EXP,22208,,,,,
6229,SMVB JSME EXP,22305,,,,,
6230,JSME SMVT EXP,22306,,,,,
6231,HWH BKN EXPRESS,22307,,,,,
6232,BKN HWH SF EXP,22308,,,,,
6233,GODA LTT EXP,22311,,,,,
6234,LTT GODDA EXP,22312,,,,,
6235,SHABD BHEDI EXP,22323,,,,,
6236,SHABD BHEDI SF,22324,,,,,
6237,HLZ ASN EXP,22329,,,,,
6238,ASN HLZ EXP,22330,,,,,
6239,PPTA SMVB EXP,22351,,,,,
6240,PATLIPUTRA EXP,22352,,,,,
6241,PPTA CDG SF EXP,22355,,,,,
6242,CDG PPTA SF EXP,22356,,,,,
6243,LTT GAYA SF EXP,22357,,,,,
6244,GAYA LTT SUP EXP,22358,,,,,
6245,PNBE CSMT SF EXP,22359,,,,,
6246,CSMT PNBE SF EXP,22360,,,,,
6247,AMRIT BHARAT EXP,22361,,,,,
6248,AMRIT BHARAT EXP,22362,,,,,
6249,BLACKDIAMOND EXP,22387,,,,,
6250,BLACKDIAMOND EXP,22388,,,,,
6251,DEE UHP AC SUP,22401,,,,,
6252,UHP DEE AC SUP,22402,,,,,
6253,PDY NDLS EXPRESS,22403,,,,,
6254,NDLS PDY EXP,22404,,,,,
6255,ABKP NZM SF EXP,22407,,,,,
6256,NZM ABKP SF EXP,22408,,,,,
6257,ARUNACHAL EXP,22411,,,,,
6258,ARUNACHAL EXP,22412,,,,,
6259,MAHAMANA EXP,22417,,,,,
6260,MAHAMANA EXP,22418,,,,,
6261,SUHAILDEV SF EXP,22419,,,,,
6262,SUHAILDEV SF EXP,22420,,,,,
6263,SALASAR SUP FAST,22421,,,,,
6264,SALASAR SUP FAST,22422,,,,,
6265,GKP ASR JANSADHARAN,22423,,,,,
6266,ASR GKP JANSADHARAN,22424,,,,,
6267,BHRIGU SF EXP,22427,,,,,
6268,BHRIGU SF EXP,22428,,,,,
6269,DLI PTK SF EXP,22429,,,,,
6270,PTK DLI SF EXP,22430,,,,,
6271,ALD UHP EXP,22431,,,,,
6272,UHP ALD EXP,22432,,,,,
6273,GCT ANVT SF EXP,22433,,,,,
6274,SUHAILDEV EXP,22434,,,,,
6275,CKTD CNB INTERCITY,22441,,,,,
6276,CNB CKTD INTERCITY,22442,,,,,
6277,CNB BDTS EXP,22443,,,,,
6278,BDTS KANPUR EXP,22444,,,,,
6279,CNB ASR SF EXP,22445,,,,,
6280,ASR CNB SF EXP,22446,,,,,
6281,PORVOTR S KRNTI,22449,,,,,
6282,PORVOTR S KRNTI,22450,,,,,
6283,BDTS CDG SF EXP,22451,,,,,
6284,CDG BDTS SF EXP,22452,,,,,
6285,RAJYA RANI EXP,22453,,,,,
6286,RAJYA RANI EXP,22454,,,,,
6287,SNSI KLK SUP EXP,22455,,,,,
6288,KLK SNSI SF EXP,22456,,,,,
6289,SHRI SHAKTI EXP,22461,,,,,
6290,SHRI SHAKTI EXP,22462,,,,,
6291,RJSTHN S KRANTI,22463,,,,,
6292,RJSTHN S KRNTI,22464,,,,,
6293,MDP ANVT SF EXP,22465,,,,,
6294,BABA V DHAM D SF,22466,,,,,
6295,BSB GNC EXP,22467,,,,,
6296,GNC BSB EXP,22468,,,,,
6297,DEE INTERCITY,22471,,,,,
6298,BKN INTERCITY,22472,,,,,
6299,BKN BDTS SF EXP,22473,,,,,
6300,BDTS BKN SUP EXP,22474,,,,,
6301,HSR CBE AC EXP,22475,,,,,
6302,CBE HSR AC EXP,22476,,,,,
6303,JU DEE SUP,22481,,,,,
6304,DEE JU SUP,22482,,,,,
6305,JU GIMB SF EXP,22483,,,,,
6306,JODHPUR EXPRESS,22484,,,,,
6307,MOGA INTERCITY,22485,,,,,
6308,N DELHI INTRCTY,22486,,,,,
6309,NEW TINSUKIA EXP,22501,,,,,
6310,NTSK SMVB EXPRESS,22502,,,,,
6311,DBRG VIVEK EXP,22503,,,,,
6312,VIVEK EXPRESS,22504,,,,,
6313,KARMABHOOMI EXP,22511,,,,,
6314,KARMABHOOMI EXP,22512,,,,,
6315,GKP YPR EXPRESS,22533,,,,,
6316,YPR GORAKPUR EXP,22534,,,,,
6317,RMM BSBS SF EXP,22535,,,,,
6318,BSBS RMM EXP,22536,,,,,
6319,KUSHINAGAR SF EXP,22538,,,,,
6320,MAU ANVT SF EXP,22539,,,,,
6321,ANVT MAU SF EXP,22540,,,,,
6322,BDTS LKU SF EXP,22543,,,,,
6323,LKU BDTS SUP EXP,22544,,,,,
6324,GWL ADI SF EXP,22547,,,,,
6325,ADI GWL SF EXP,22548,,,,,
6326,BUI NDLS SF EXP,22581,,,,,
6327,NDLS BUI SF EXP,22582,,,,,
6328,JANSADHARAN EXP,22583,,,,,
6329,JANSADHARAN EXP,22584,,,,,
6330,SHIRDI EXPRESS,22601,,,,,
6331,SNSI CHENNAI EXP,22602,,,,,
6332,KGP VM SF EXP,22603,,,,,
6333,KHARAGPUR EXP,22604,,,,,
6334,PRR TEN EXPRESS,22605,,,,,
6335,PURULIA EXPRESS,22606,,,,,
6336,INTERCITY EXP,22609,,,,,
6337,INTERCITY EXP,22610,,,,,
6338,MAS NJP EXPRESS,22611,,,,,
6339,NJP MAS EXPRESS,22612,,,,,
6340,SHRADDHA SETHU,22613,,,,,
6341,SHRADDHA SETHU,22614,,,,,
6342,TPTY CBE EXP,22615,,,,,
6343,TIRUPATI SF EXP,22616,,,,,
6344,TPTY SMVB SF EX,22617,,,,,
6345,TIRUPATHI EXP,22618,,,,,
6346,BSP TEN EXPRESS,22619,,,,,
6347,TEN BILASPUR EX,22620,,,,,
6348,RMM CAPE SF EXP,22621,,,,,
6349,CAPE RMM SF EXP,22622,,,,,
6350,MADURAI EXPRESS,22623,,,,,
6351,CHENNAI EXPRESS,22624,,,,,
6352,TVC EXPRESS,22627,,,,,
6353,TPJ EXPRESS,22628,,,,,
6354,ANUVRAT EXPRESS,22631,,,,,
6355,ANUVRAT EXP,22632,,,,,
6356,NIZAMUDDIN EXP,22633,,,,,
6357,NZM TVC SF EXP,22634,,,,,
6358,MAQ INTERCITY EX,22635,,,,,
6359,MADGAON EXP,22636,,,,,
6360,WEST COAST EXP,22637,,,,,
6361,WEST COAST EXP,22638,,,,,
6362,ALLEPPEY EXP,22639,,,,,
6363,CHENNAI EXPRESS,22640,,,,,
6364,SHALIMAR EXP,22641,,,,,
6365,SHM TVC  EXPRESS,22642,,,,,
6366,PATNA EXPRESS,22643,,,,,
6367,PNBE ERS EXPRESS,22644,,,,,
6368,AHILYANAGARI EX,22645,,,,,
6369,AHILYANAGARI EX,22646,,,,,
6370,KRBA KCVL EXPRES,22647,,,,,
6371,KORBA EXPRESS,22648,,,,,
6372,YERCAUD EXPRESS,22649,,,,,
6373,YERCAUD EXP,22650,,,,,
6374,PALAKKAD EXP,22651,,,,,
6375,PGT MAS EXPRESS,22652,,,,,
6376,NIZAMUDDIN  EXP,22653,,,,,
6377,NZM TVC SF EXP,22654,,,,,
6378,ERS NZM SF EXP,22655,,,,,
6379,NZM ERS SF EXP,22656,,,,,
6380,TBM NCJ EXPRESS,22657,,,,,
6381,NCJ TBM EXPRESS,22658,,,,,
6382,KCVL RISHIKESH EXP,22659,,,,,
6383,YNRK KCVL SF EXP,22660,,,,,
6384,RAMESWARAM EXP,22661,,,,,
6385,RMM CHENNAI EXP,22662,,,,,
6386,MS JODHPUR EXP,22663,,,,,
6387,JU MS SF EXPRESS,22664,,,,,
6388,SBC CBE UDAY EXP,22665,,,,,
6389,CBE SBC UDAY EXP,22666,,,,,
6390,COIMBATORE EXP,22667,,,,,
6391,NAGERCOIL EXP,22668,,,,,
6392,ERS PATNA EXP,22669,,,,,
6393,PNBE ERS EXPRES,22670,,,,,
6394,BGKT MQ EXPRESS,22673,,,,,
6395,MQ BGKT EXP,22674,,,,,
6396,CHOZHAN EXPRESS,22675,,,,,
6397,CHOZHAN EXPRESS,22676,,,,,
6398,INTERCITY EXP,22679,,,,,
6399,INTERCITY EXP,22680,,,,,
6400,CHENNAI EXPRESS,22681,,,,,
6401,MYSORE EXPRESS,22682,,,,,
6402,YPR LKO EXP,22683,,,,,
6403,LKO YPR SUP,22684,,,,,
6404,YPR  SKRANTIEXP,22685,,,,,
6405,KARNTK S KRANTI,22686,,,,,
6406,MYS BSB EXP,22687,,,,,
6407,BSB MYS EXPRESS,22688,,,,,
6408,ADI YPR SUP FAST,22689,,,,,
6409,AHMEDABAD EXP,22690,,,,,
6410,UBL MAS SF EXP,22697,,,,,
6411,MAS UBL SF EXP,22698,,,,,
6412,DD UDAY EXPRESS,22701,,,,,
6413,VSKP UDAY DD EXP,22702,,,,,
6414,TPTY DOUBLE DECK,22707,,,,,
6415,VSKP DOUBLE DECK,22708,,,,,
6416,NED AADR SF EXP,22709,,,,,
6417,AADR NED SF EXP,22710,,,,,
6418,KCG MDU SF EXP,22715,,,,,
6419,MDU KCG SF EXP,22716,,,,,
6420,RJT SC EXPRESS,22717,,,,,
6421,RAJKOT EXPRESS,22718,,,,,
6422,NED SGNR EXP,22723,,,,,
6423,SGNR NED EXP,22724,,,,,
6424,MUMBAI EXP,22731,,,,,
6425,HYDERABAD EXP,22732,,,,,
6426,SC HSR EXP,22737,,,,,
6427,HSR SC EXPRESS,22738,,,,,
6428,VSKP MAS SF EXP,22801,,,,,
6429,MAS VSKP  EXP,22802,,,,,
6430,SHM SBP SUP EXP,22803,,,,,
6431,SBP SHM SUP EXP,22804,,,,,
6432,BBS ANVT SUP EXP,22805,,,,,
6433,ANVT  BBS SUP,22806,,,,,
6434,SRC  MAS AC EXP,22807,,,,,
6435,MAS SRC AC EXP,22808,,,,,
6436,VSKP SF EXP,22809,,,,,
6437,PRDP SF EXP,22810,,,,,
6438,SRC  PRDP SF EXP,22813,,,,,
6439,PRDP SRC SF EXP,22814,,,,,
6440,BSP ERS S F EXP,22815,,,,,
6441,ERS BILASPUR EXP,22816,,,,,
6442,HWH MYS EXPRESS,22817,,,,,
6443,MYS HOWRAH EXP,22818,,,,,
6444,INTER CITY EXP,22819,,,,,
6445,INTER CITY EXP,22820,,,,,
6446,JGM PRR EXPRESS,22821,,,,,
6447,PRR JGM EXPRESS,22822,,,,,
6448,SHM MAS SF EXP,22825,,,,,
6449,MAS SHM EXPRESS,22826,,,,,
6450,PURI SURAT EXP,22827,,,,,
6451,SURAT PURI EXP,22828,,,,,
6452,BHUJ SHM EXP,22829,,,,,
6453,SHM BHUJ SF EXP,22830,,,,,
6454,HWH YPR SF EXP,22831,,,,,
6455,YPR HWH SF EXP,22832,,,,,
6456,SHM PURI SF EXP,22835,,,,,
6457,PURI SHM SF EXP,22836,,,,,
6458,DHARTI AABA EXP,22837,,,,,
6459,DHARTI AABA EXP,22838,,,,,
6460,ROU BBS SF INT E,22839,,,,,
6461,BBS ROU SF INT E,22840,,,,,
6462,TBM SRC ANTYODAYA,22842,,,,,
6463,BSP PNBE EXP,22843,,,,,
6464,PNBE BSP EXPRESS,22844,,,,,
6465,PUNE EXP EXP,22845,,,,,
6466,HATIA PUNE SF EXP,22846,,,,,
6467,VSKP LTT EXPRESS,22847,,,,,
6468,LTT VSKP SUP EXP,22848,,,,,
6469,SHM SC WKLY EXP,22849,,,,,
6470,SC SHM WKLY EXP,22850,,,,,
6471,MAQ VIVEK SF EXP,22851,,,,,
6472,SRC VIVEK EXP,22852,,,,,
6473,SHM VSKP SF EXP,22853,,,,,
6474,VSKP SHM SF EXP,22854,,,,,
6475,SRC TPTY SF EXP,22855,,,,,
6476,TPTY SRC SF EXP,22856,,,,,
6477,SRC ANVT SF EXP,22857,,,,,
6478,ANVT SRC SF EXP,22858,,,,,
6479,PURI CHENNAI EXP,22859,,,,,
6480,MAS PURI EXPRESS,22860,,,,,
6481,KBJ ISPAT EXP,22861,,,,,
6482,KBJ ISPAT EXP,22862,,,,,
6483,HWH SMVB AC EXP,22863,,,,,
6484,SMVB HWH AC EXP,22864,,,,,
6485,LTT PURI EXPRESS,22865,,,,,
6486,PURI LTT SF EXP,22866,,,,,
6487,VSKP MAS SF EXP,22869,,,,,
6488,VISAKAPATNAM EXP,22870,,,,,
6489,BBS TPTY EXPRESS,22871,,,,,
6490,TPTY BBS EXP,22872,,,,,
6491,DGHA VSKP EXP,22873,,,,,
6492,VSKP DIGHA EXP,22874,,,,,
6493,UDAY EXPRESS,22875,,,,,
6494,VSKP UDAY DD EXP,22876,,,,,
6495,HWH ERS ANTYODAYA,22877,,,,,
6496,PUNE BBS EXPRESS,22881,,,,,
6497,BBS PUNE EXP,22882,,,,,
6498,DGHA PURI SUP EX,22889,,,,,
6499,PURI DGHA SUP EX,22890,,,,,
6500,HWH RNC INT EXP,22891,,,,,
6501,RNC HWH INT EXP,22892,,,,,
6502,SNSI HWH SUP EXP,22893,,,,,
6503,HWH SNSI EXPRESS,22894,,,,,
6504,KANDARI EXPRESS,22897,,,,,
6505,KANDARI EXPRESS,22898,,,,,
6506,BDTS UDZ SF EXP,22901,,,,,
6507,UDZ BDTS SF EXP,22902,,,,,
6508,BHUJ AC SF EXP,22903,,,,,
6509,BDTS AC SF EXP,22904,,,,,
6510,OKHA SHALIMAR EXP,22905,,,,,
6511,SHM PBR OKHA EXP,22906,,,,,
6512,MAO HAPA SUP EXP,22907,,,,,
6513,HAPA MADGAON EXP,22908,,,,,
6514,BL PURI SF EXP,22909,,,,,
6515,PURI VALSAD EXP,22910,,,,,
6516,SHIPRA EXPRESS,22911,,,,,
6517,SHIPRA EXP,22912,,,,,
6518,BDTS HSR SF EXP,22915,,,,,
6519,HSR BDTS S F EXP,22916,,,,,
6520,HARIDWAR EXP,22917,,,,,
6521,HW BDTS SF EXP,22918,,,,,
6522,BDTS GKP ANTODAYA,22921,,,,,
6523,GKP BDTS ANTODAYA EXP,22922,,,,,
6524,LOK SHAKTI EXP,22927,,,,,
6525,LOK SHAKTI EXP,22928,,,,,
6526,DRD BRC EXP,22929,,,,,
6527,BRC DRD EXP,22930,,,,,
6528,BDTS JSM EXP,22931,,,,,
6529,JSM BDTS SF EXP,22932,,,,,
6530,BDTS JP SF EXP,22933,,,,,
6531,JP BDTS SF EXP,22934,,,,,
6532,BDTS PIT SF EXP,22935,,,,,
6533,PIT BDTS SF EXP,22936,,,,,
6534,RAJKOT REWA EXP,22937,,,,,
6535,REWA RJT SUP EXP,22938,,,,,
6536,OKHA BSP SF EXP,22939,,,,,
6537,BSP OKHA SF EXP,22940,,,,,
6538,INBD UHP SF EXP,22941,,,,,
6539,UHP INDB SF EXP,22942,,,,,
6540,PUNE INDORE EXP,22943,,,,,
6541,INDB DAUND EXPRES,22944,,,,,
6542,SAURASHTRA MAIL,22945,,,,,
6543,SAURASHTRA MAIL,22946,,,,,
6544,ST BHAGALPUR EX,22947,,,,,
6545,BGP SURAT SF EXP,22948,,,,,
6546,BDTS DEE EXPRESS,22949,,,,,
6547,DEE BDTS SF EXP,22950,,,,,
6548,GANDHIDHAM EXP,22951,,,,,
6549,BANDRA T EXP,22952,,,,,
6550,GUJARAT EXPRESS,22953,,,,,
6551,GUJARAT EXPRESS,22954,,,,,
6552,KUTCH EXPRESS,22955,,,,,
6553,KUTCH EXPRESS,22956,,,,,
6554,SOMNATH EXPRESS,22957,,,,,
6555,SOMNATH EXPRESS,22958,,,,,
6556,JAMNAGAR INTCITY,22959,,,,,
6557,BRC INTERCITY,22960,,,,,
6558,BDTS BVC SF EXP,22963,,,,,
6559,BVC BDTS SF EXP,22964,,,,,
6560,BDTS BGKT EXP,22965,,,,,
6561,BGKT BDTS SF EXP,22966,,,,,
6562,ADI PRYJ EXPRESS,22967,,,,,
6563,PRYJ ADI SF EXP,22968,,,,,
6564,OKHA BSBS SF EXP,22969,,,,,
6565,BSB OKHA SF EXP,22970,,,,,
6566,BDTS PNBE S FAST,22971,,,,,
6567,PNBE BDTS SF EXP,22972,,,,,
6568,GIMB PURI S FAST,22973,,,,,
6569,PURI GIMB EXP,22974,,,,,
6570,RAMNAGAR EXPRESS,22975,,,,,
6571,RMR BDTS EXP,22976,,,,,
6572,JP JU SF EXP,22977,,,,,
6573,JU JP SF EXP,22978,,,,,
6574,KOTA SGNR SF EXP,22981,,,,,
6575,SGNR KOTA SF,22982,,,,,
6576,KOTA INDB SF EXP,22983,,,,,
6577,INDB KOTA SF EXP,22984,,,,,
6578,AII AF SUPERFAST,22987,,,,,
6579,AF AII SUPERFAST,22988,,,,,
6580,BDTS MHV SF EXP,22989,,,,,
6581,MHV BDTS SF EXP,22990,,,,,
6582,BL BGKT SUP,22991,,,,,
6583,JU BL EXP,22992,,,,,
6584,MANDORE EXPRESS,22995,,,,,
6585,MANDORE EXPRESS,22996,,,,,
6586,JLWC SGNR SF EXP,22997,,,,,
6587,SGNR JLWC SUP,22998,,,,,
6588,LKO INTERCITY,24203,,,,,
6589,BSB INTERCITY,24204,,,,,
6590,VALLEY QUEEN SPL,00961,,,,,
6591,VALLEY QUEEN SPL,00962,,,,,
6592,LTT MAO SPL,01003,,,,,
6593,MAO LTT SPL,01004,,,,,
6594,PUNE KOP SPECIAL,01023,,,,,
6595,KOP PUNE SPECIAL,01024,,,,,
6596,DR BALLIA SPL,01025,,,,,
6597,BUI DR SPL,01026,,,,,
6598,DR GKP SPECIAL,01027,,,,,
6599,GKP DR SPL,01028,,,,,
6600,DR SNSI SPECIAL,01041,,,,,
6601,SNSI DR SPECIAL,01042,,,,,
6602,DVL DNR SPL,01053,,,,,
6603,CSMT SWV SPL,01103,,,,,
6604,SWV CSMT SPL,01104,,,,,
6605,LTT SWV SPL,01129,,,,,
6606,SWV LTT SPECIAL,01130,,,,,
6607,LTT SWV SPECIAL,01131,,,,,
6608,SWV LTT SPL,01132,,,,,
6609,NGP MAO SPECIAL,01139,,,,,
6610,MAO NGP SPECIAL,01140,,,,,
6611,SGTY TNA MIXED TOD,01150,,,,,
6612,CSMT SWV SPL,01151,,,,,
6613,SWV CSMT SPL,01152,,,,,
6614,CSMT RN SPL,01153,,,,,
6615,RN CSMT SPL,01154,,,,,
6616,LTT MAO AC SPL,01165,,,,,
6617,MAO LTT AC SPL,01166,,,,,
6618,LTT SWV SPL,01167,,,,,
6619,SWV LTT SPL,01168,,,,,
6620,LTT SWV SPL,01171,,,,,
6621,SWV LTT SPL,01172,,,,,
6622,LTT MAO SPL,01185,,,,,
6623,MAO LTT SPL,01186,,,,,
6624,MML ABKP SPL,01265,,,,,
6625,ABKP JBP SPL,01266,,,,,
6626,ET BPL SPECIAL,01271,,,,,
6627,BPL ET SPECIAL,01272,,,,,
6628,PUNE DNR SPL,01421,,,,,
6629,KLBG DD SPL,01422,,,,,
6630,PUNE DNR SPL,01425,,,,,
6631,KLBG DD SPL,01426,,,,,
6632,SUR LTT SPECIAL,01435,,,,,
6633,LTT SUR SPECIAL,01436,,,,,
6634,SUR DMM SPECIAL,01437,,,,,
6635,DMM SUR SPL,01438,,,,,
6636,PUNE RN SPECIAL,01445,,,,,
6637,RN PUNE SPECIAL,01446,,,,,
6638,PUNE RN SPECIAL,01447,,,,,
6639,RN PUNE SPL,01448,,,,,
6640,PUNE HARANGUL EX,01487,,,,,
6641,HARANGUL PUNE EX,01488,,,,,
6642,KAWR MAO SPL,01595,,,,,
6643,MAO KAWR SPL,01596,,,,,
6644,AGTL FESTIVL SPL,01665,,,,,
6645,AGTL RKMP SPL,01666,,,,,
6646,RKMP REWA SPL,01703,,,,,
6647,REWA RKMP SPL,01704,,,,,
6648,JBP SVDK SPL,01707,,,,,
6649,SVDK JBP SPL,01708,,,,,
6650,DHN BBS SPL,02831,,,,,
6651,BBS DHN SPL,02832,,,,,
6652,RXL HWH SPL,03046,,,,,
6653,BSBS MDP MELA SPL,03158,,,,,
6654,SHTT KOAA SPL,03182,,,,,
6655,PNBE THE EXP,03215,,,,,
6656,THE PNBE SPL,03216,,,,,
6657,RGD MCTM SPL,03221,,,,,
6658,RGD SUMMER SPL,03222,,,,,
6659,RGD HW SPL,03223,,,,,
6660,RGD SUMMER SPL,03224,,,,,
6661,SBG DNR SPL,03235,,,,,
6662,DNR SBG SPL,03236,,,,,
6663,RGD PNBE SPL,03249,,,,,
6664,PNBE RGD SPL,03250,,,,,
6665,PNBE CHZ SPL,03253,,,,,
6666,PNBE ANVT SF SPL,03255,,,,,
6667,PNBE SUMMER SPL,03256,,,,,
6668,DNR ARA SPL,03303,,,,,
6669,ARA DNR SPL EXP,03304,,,,,
6670,RJPB ARA SPL,03319,,,,,
6671,ARA RJPB SPL EXP,03320,,,,,
6672,KQR RGD SPL,03321,,,,,
6673,RGD KQR SPL,03322,,,,,
6674,SOU DNR SPL,03349,,,,,
6675,DNR SOU SPL,03350,,,,,
6676,DHN LTT SPL EXP,03379,,,,,
6677,LTT DHANBAD SPL,03380,,,,,
6678,SHC PPTA SPL,03387,,,,,
6679,PPTA SHC SPL,03388,,,,,
6680,ASN PNBE SRVN MELA SPL,03511,,,,,
6681,PNBE ASN SPL,03512,,,,,
6682,ASN GKP MELA SPL,03527,,,,,
6683,GKP ASN MELA SPL,03528,,,,,
6684,ASN DNR SRVN MELA SPL,03553,,,,,
6685,DNR ASN SRVN MELA SPL,03554,,,,,
6686,MDP DDU SPL,03601,,,,,
6687,DDU MDP MELA SPL,03602,,,,,
6688,DHN CBE SPL,03679,,,,,
6689,CBE DHN SPL,03680,,,,,
6690,NDLS SVDK SPL,04081,,,,,
6691,SVDK NDLS SPL,04082,,,,,
6692,ANVT PNBE SPL,04090,,,,,
6693,SFG LTT SPL,04115,,,,,
6694,LTT SFG SPL,04116,,,,,
6695,GWL BJU S SPL,04137,,,,,
6696,BJU GWL SPL,04138,,,,,
6697,SFG UDN SPL,04155,,,,,
6698,UDN SFG SPL,04156,,,,,
6699,ASN GOY WEEKLY SPL,04157,,,,,
6700,GOY ASN WEEKLY SPL,04158,,,,,
6701,VGLJ LKU SPL,04181,,,,,
6702,LKU VGLJ SPL,04182,,,,,
6703,AMG YNRK MELA SPL,04317,,,,,
